address.streetAddress,address.city,address.state,address.zipcode,zpid,propertyTypeDimension,yearBuilt,county,livingArea,rentZestimate,monthlyHoaFee,price,url,datePosted,resoFacts.daysOnZillow,attributionInfo.trueStatus,imgSrc,bedrooms,bathrooms,longitude,latitude,description,rentAverage
111 N Sheftall Circle,Savannah,GA,31410,14126403,Single Family,1987,Chatham,3360,,,618000,/homedetails/111-N-Sheftall-Cir-Savannah-GA-31410/14126403_zpid/,3/12/2026,41,,https://photos.zillowstatic.com/fp/1b87f1529cec02741a5787e386d185d5-p_d.jpg,4,3,-80.97201,32.012005,"Discover the perfect balance of ""worry-free"" and ""blank canvas"" in this 4-bedroom, 3-bathroom gem. Located in one of the island’s most sought-after pockets, this home has been loved and immaculately maintained, featuring a brand-new roof and systems that shine. While the upkeep is flawless, the interior offers a rare opportunity to bring your personal touch. The spacious layout provides plenty of room for a growing family, including a versatile bonus room perfect for a home office or playroom. Outside, the backyard is already a private oasis—fully enclosed by a classic wood privacy fence, ideal for weekend BBQs, pets, and play. The prime island location means you’re minutes from the water and top-tier schools, and only 15 minutes to historic downtown.",3100
1402 6th Avenue,Tybee Island,GA,31328,14193920,Single Family,1953,Chatham,2500,3873,,1095000,/homedetails/1402-6th-Ave-Tybee-Island-GA-31328/14193920_zpid/,7/21/2025,275,,https://photos.zillowstatic.com/fp/65219ca399525e055b7c37337f60eb5f-p_d.jpg,8,5,-80.85253,31.996275,"Welcome Home to this newly remodeled 8Bd / 5Ba home located on an estate sized (double), corner lot on Tybee Island! New Brick Paver Driveway, Shutters, Updated Landscaping, and New Pool just installed! This beautiful home sits on 2 lots with the possibility of adding an additional structure to the property! The property has been thoughtfully renovated inside and out and is move in ready. Features include a custom front deck with built in tables and seating, refinished hardwood floors, new bathrooms with beautiful tile work, bedrooms with custom built in cabinets / closets, custom bunk room, new roof, and new fence. The property is located in an exceptional  ""South End"" location and only a few blocks to the beach, back river, restaurants, bars, and shopping! Must see this phenomenal property! Seller is a licensed Broker in the State of Georgia.",
127 E Gordon Street,Savannah,GA,31401,80796774,Single Family,1870,Chatham,6235,5833,,3500000,/homedetails/127-E-Gordon-St-Savannah-GA-31401/80796774_zpid/,3/14/2026,39,,https://photos.zillowstatic.com/fp/1d809635f241cfc82ee98f71cc947491-p_d.jpg,5,5,-81.09294,32.070347,"Overlooking Taylor Square, 127 East Gordon Street presents a rare opportunity to own a masterfully reimagined historic residence in the heart of Savannah’s Historic District. Currently undergoing an extensive renovation, this 3-level home blends classic Savannah architecture with modern luxury & thoughtful functionality.

Once completed, the residence will offer more than 6,000 sq ft with 5 bedrooms, 4 full bathrooms & 2 powder rooms. A private elevator connects all 3 levels for seamless access throughout the home.

The property features exceptional outdoor living spaces. 2 gracious front porches overlook Taylor Square, offering a classic Savannah vantage point. Along the west side, a professionally landscaped walled garden with pool creates a private retreat ideal for relaxation & entertaining. Gated access from Abercorn Street leads to a private garage with additional driveway parking, while a terrace above the garage overlooks the garden & square.

The main level is designed for both everyday living & entertaining, anchored by a grand living room with dual fireplaces. This level also includes a study, butler’s pantry & powder room. A newly constructed addition will house the formal dining room & kitchen opening to a keeping room overlooking Taylor Square with direct access to the front porch.

Upstairs, 2 bedrooms & 2 bathrooms connect through a central sitting room & bay-window reading nook overlooking the square. One bedroom features a fireplace & private balcony, while a skylight above the stairwell fills the hall with natural light.

The garden level offers 2 ensuite bedrooms & a spacious family room with bar opening directly to the garden & pool for seamless indoor-outdoor living.

Approved architectural plans, potential tax incentives & detailed phases of construction are available upon request. Visit 127egordon.com to view the home’s history & project details.",4500
661 Wyndham Way,Pooler,GA,31322,108586589,Single Family,2013,Chatham,3416,,109,615000,/homedetails/661-Wyndham-Way-Pooler-GA-31322/108586589_zpid/,2/24/2026,57,,https://photos.zillowstatic.com/fp/e29892041ccc250f8dd06e8b66d7f0f7-p_d.jpg,5,4,-81.27466,32.143757,"Step into a beautifully maintained home where rich wood flooring and a bright, open layout set the tone for effortless living. The welcoming foyer leads to a versatile formal dining area—perfect for hosting guests or creating a stylish home office. At the heart of the home, the gourmet eat-in kitchen impresses with stainless steel appliances, granite countertops, a spacious breakfast bar, pantry storage, and a custom decorative tile accent that adds a designer touch. The kitchen flows seamlessly into the expansive family room, anchored by a cozy gas fireplace and ideal for everyday living or entertaining.

French doors open to a wide, rear deck spanning the length of the home—an ideal setting for outdoor dining, gatherings, or simply enjoying peaceful lagoon views. The fully fenced backyard offers both privacy and tranquility. The main-level primary suite provides a relaxing retreat with a walk-in closet and a private en suite bath featuring a water closet. A convenient laundry room and half bath complete the first floor.

Upstairs, you’ll find a flexible loft space, a second primary suite with its own private bath, three additional generously sized bedrooms, and a full bath—offering room for everyone and everything. Additional highlights include a two-car garage, extended driveway, added gutters, palm trees in both the front and backyard, and a Rain Bird sprinkler system with mobile remote control. Two brand-new 5-ton A/C units installed in June 2025 deliver exceptional comfort year-round.

Located in a desirable gated community with outstanding amenities, this home offers the perfect blend of natural serenity and everyday convenience—just minutes from Pooler’s premier shopping, dining, and top-rated schools. A rare opportunity to enjoy space, style, and location all in one exceptional home.",3300
52-56 E Broad Street,Savannah,GA,31401,457595195,Multi Family,1874,Chatham,7100,,,4500000,/homedetails/52-52-E-Broad-St-56-Savannah-GA-31401/457595195_zpid/,6/25/2025,301,,https://photos.zillowstatic.com/fp/e83e89834f8aaa4ff25e9a055bae729c-p_d.jpg,9,12,-81.08438,32.0773,"Discover unparalleled luxury in these three meticulously renovated homes in prestigious Trustees' Garden, where sophisticated craftsmanship meets contemporary elegance. Each residence has been completely transformed, creating exquisite sanctuaries that blend historic charm with refined modern living steps from Savannah's Historic District and vibrant Eastern Wharf community. Thoughtfully designed homes feature luxurious main-level master suites plus two additional bedroom suites upstairs, with premium Viking appliances, Carrara marble countertops, gas lanterns, coral stone and heart pine flooring. Spa-inspired bathrooms showcase oversized showers with intricate tile work, while custom fireplace surrounds and arched openings add architectural distinction. Each home has unique character features a coffee bar and French doors to a private courtyard with covered parking completing these exceptional residences. Currently used as STVRs. Sold as a group & Furnished. Click reel for more",
179 Champlain Drive,Pooler,GA,31322,460516425,Single Family,2026,Chatham,4156,3967,109,704335,/homedetails/179-Champlain-Dr-Pooler-GA-31322/460516425_zpid/,2/16/2026,65,,https://photos.zillowstatic.com/fp/e407195aafae8bfa9aa81a1ea254c717-p_d.jpg,5,5,-81.27865,32.145893,"Savannah's most trusted local builder is proud to offer our Waverly plan. This Home is Located in our Forest Lakes community in Pooler, GA. This 5BR, 4.5 BA home of approx 4,156 sq ft of has an open concept, spacious design with room for everyone and everything! Kitchen has quartz counters & gourmet appliances including built-in double oven & 42"" upper cabinets, a beautiful island & pendant lights. Kitchen opens to the cafe area and great room w/ FP. Up the wood-tread stairs you'll find the primary suite w/ tray ceiling w/ ceiling fan/light. Primary bath has 6 ft tiled shower with 12"" bench.  Vanity feature Quartz countertops. Gorgeous click plank flooring in main living areas, baths & laundry have tile floors. Home has a level 3 ADT security system (monitoring not included). Fully sodded yard w/ landscape beds & irrigation. All Builder incentives applied.",3300
193 Champlain Drive,Pooler,GA,31322,457241586,Single Family,2025,Chatham,2828,2963,109,577840,/homedetails/193-Champlain-Dr-Pooler-GA-31322/457241586_zpid/,10/7/2025,197,,https://photos.zillowstatic.com/fp/879138e1ee99c5db72319c7df7b70e64-p_d.jpg,4,3,-81.27903,32.14395,"MOVE IN READY!! Savannah's most trusted local builder is proud to offer our Richmond plan. This Home is Located in our Forest Lakes Community in Pooler, GA. This open concept plan which includes formal dining, great room & kitchen with tons of windows. As You Enter Your Foyer Complete with Wainscoting and Crown Molding you find a Dedicated Den/Study with French Doors. The Kitchen has quartz counters, gourmet appliances with Double oven, Canopy Hood and tall 42"" upper cabinets.  All BRs and a loft are upstairs. The primary suite includes a separate tiled shower & garden tub, with double sink vanity. All baths have quartz countertops. Gorgeous click plank flooring is in main living areas, baths and laundry. Outside you have a 12' x12' covered rear porch and 12' x 12' patio plus sod and irrigation for entire yard. All Builder incentives applied. Due to complete April, 2026. Virtual tour represents home plan, but not actual home.",2750
520 E Bryan Street,Savannah,GA,31401,14151028,Single Family,1899,Chatham,2070,3397,,1295000,/homedetails/520-E-Bryan-St-Savannah-GA-31401/14151028_zpid/,3/18/2026,35,,https://photos.zillowstatic.com/fp/eb464eb8e6df0b43d7fa144a003deddd-p_d.jpg,3,3,-81.08548,32.078766,"Located on picturesque Washington Square, this classic 1899 Savannah home offers an exceptional blend of historic charm and investment potential, with an active non-owner occupied STVR permit and strong rental history. Just steps from River Street, dining, shopping, and the city’s most iconic attractions, the location truly can't be beat. Inside, you’ll find soaring ceilings, large windows, gleaming hardwood floors, intricate woodwork, and five fireplaces that reflect the home’s timeless character. The traditional first floor layout features a parlor living room and formal dining room, creating an elegant setting for both everyday living and entertaining. The kitchen offers a gas stove, ample storage, and a relaxed sitting area. Just beyond, a private courtyard provides the perfect setting for outdoor entertaining, while a nearby half bath and laundry add convenience. Upstairs, three spacious bedrooms include a front-facing primary suite with a private bath and balcony overlooking the square. A second full bath serves the two additional guest bedrooms on this floor. The third floor loft, currently used as a fourth bedroom, provides flexible accommodations for guests. Offered fully furnished with appliances, this home presents a truly turnkey opportunity. All set in the heart of Savannah’s Historic District, rich in character, walkability, and enduring appeal.",2600
113 Jones Avenue,Tybee Island,GA,31328,14192516,Single Family,1985,Chatham,2040,4201,,695000,/homedetails/113-Jones-Ave-Tybee-Island-GA-31328/14192516_zpid/,12/14/2025,129,,https://photos.zillowstatic.com/fp/f0144962b39d1771969868c6b64f02de-p_d.jpg,4,3,-80.84392,32.01195,Charming home only 3 blocks to the BEACH!  Unique floor plan with a separate suite on the first level that could be used as a separate rental  or for extended family.  Total of for bedrooms and 3 bathrooms in t he entire house.  Bright and airy.  Both units are currently rent led long term.  Tenant is moving out on the first level in the near future.  Fenced yard.,
928 Victory Drive,Savannah,GA,31405,444159573,Multi Family,1960,Chatham,8563,,,1399000,/homedetails/928-W-Victory-Dr-Savannah-GA-31405/444159573_zpid/,12/5/2025,138,,https://photos.zillowstatic.com/fp/5c397fcc43a7f061a53a3bee28a78baa-p_d.jpg,19,12,-81.11157,32.059383,"Incredible investment in Savannah. Portfolio includes 8 rental units across 6 properties, including 6 single-family homes and a carriage house duplex. Every property is currently occupied and producing consistent income. Rents 30–50% below market, creating immediate upside through renewal increases. Eligible for Sec 8 voucher tenants, 3-bdrm voucher rates are high enough to almost double current rents on several homes. Well-maintained with only minor deferred maintenance. NOI is strong. Leases run through 2026, allowing a smooth, structured plan for future adjustments. Stabilized, income-producing portfolio with significant appreciation and cash-flow potential. Perfect for DSCR buyers, long-term investors, 1031, or expand rental holdings at scale. Complete financial package available. SOLD AS PACKAGE -  22 Westminister Drive, 231 Holiday Circle, 4316 Raybun Street, 928 W Victory Drive, 2612-A Stevens Street, 2612-B Stevens Street, and 2221 Lorraine Court, 2348 Toussaint Avenue.",
606 Butler Avenue,Tybee Island,GA,31328,14192826,Single Family,1948,Chatham,2824,,,1225000,/homedetails/606-Butler-Ave-Tybee-Island-GA-31328/14192826_zpid/,10/5/2025,199,,https://photos.zillowstatic.com/fp/794ea4754661aabe1d8dae5ab1ee33fa-p_d.jpg,5,5,-80.84352,32.005833,"Great opportunity to own a classic Tybee cottage beach side of Butler that has been updated over the years. Large screened porches upstairs and down. Plenty of room under the house for hanging out and playing a game of ping pong. Kitchens are upstairs and down allowing for large families to spread out and have their own space. 2 bedrooms upstairs and 3 bedrooms down. The outside shower is located next to the downstairs entrance for rinsing off after a great day on the beach. Interior and exterior stairs allow for the house to be used as 1 big house, or split for 2 families. And what a great location for the world famous Beach Bum parade! This is a great opportunity to finally own a really cool old cottage on Tybee large enough for the whole family to come visit.",
517 E Liberty Street,Savannah,GA,31401,299355933,Townhouse,2018,Chatham,3324,,,1650000,/homedetails/517-E-Liberty-St-Savannah-GA-31401/299355933_zpid/,1/9/2026,103,,https://photos.zillowstatic.com/fp/35726d91ea7173c97c0f170d0f56b682-p_d.jpg,4,5,-81.0878,32.072903,"An exceptional opportunity to own a top-producing, fully licensed Short-Term Vacation Rental property with three coveted STVR certificates in the heart of Savannah’s Landmark Historic District. This 3-story brick townhome includes three separate, income-generating units. The main residence offers high ceilings, a gourmet kitchen, dining area, spacious living room with gas fireplace, and two owners’ suites, each with private baths and walk-in closets. An elevator shaft is available for future accessibility. The second-floor
deck provides stunning views of iconic St. John’s Cathedral. The garden-level 1BD/1BA apartment offers private entry and full amenities, while the detached carriage house includes a two-car garage and an upstairs 1BD/1BA apartment. Outdoors, enjoy a charming courtyard with low-maintenance turf and a paver patio. Enjoy the timeless character of Savannah with the peace of mind of a newer construction
property designed for modern living and long-term investment success.",3000
104 17th Street,Tybee Island,GA,31328,14193676,Single Family,2025,Chatham,9382,3174,,5995000,/homedetails/104-17th-St-Tybee-Island-GA-31328/14193676_zpid/,12/19/2025,124,,https://photos.zillowstatic.com/fp/090740e536dd90dfa50eca7306f7172e-p_d.jpg,22,21,-80.85024,31.991388,"Tybee's LARGEST 4 Unit Development the ""Tybee Reserve"" is Ready for Immediate Move In! The ""Tybee Reserve"" is a total of 22 Bedrooms, 19 Full Bathrooms & 2 Half Bathrooms, spanning 9382sqft. Zoned Commercial & Can Qualify for Residential Financing! STVR Eligible Property on the South End of Tybee Island with an Annual Projected Income of $775K+, the “Tybee Reserve” offers 4 Three Story Luxury Attached Single Family Units Sold as One Property! Each Unit offers Open Concept Layouts, 12 Foot Ceilings, Full Kitchens, Multiple Living Spaces, Washer + Dryer, Sound Deadening Spray Foam, Secure Keyless Entry & Dedicated Parking w/2 Car Garages + Driveways for 2-3 Additional Parking Spaces. Brand New Interiors feature 3 ¼ Solid White Oak Hardwood Flooring, Custom Kitchens w/Cambria Luxury Series Quartz, Designer Lighting + Large Windows throughout. Central Resort Style Outdoor Courtyard Includes a Private Heated Saltwater Pool w/Shell Lock Paver Lounge Deck. Unit A: 4BR/4BA w/Office, perfect for Bunk Setup, creating Occupancy for up to 12 Guests. Unit B: 6BR/5.5BA w/an Occupancy of up to 14 Guests. Unit C: 6BR/5.5BA w/Bunk Room off Main Level Bedroom, creating Occupancy for up to 16 Guests. Unit D: 6BR/5BA w/an Occupancy of up to 14 Guests. All Units Feature French Doors open to Neighborhood Views. Unit C+D Offers Oversized Sliding Glass Doors leading to Balcony w/Pool Views. Every Detail, from Modern Fixtures to High-Quality Finishes, has been carefully chosen to provide Upscale Comfort and Style. X FLOOD ZONE! Flood Insurance is Not Required. Just a Short Walk to the Beach, Pier + Pavilion, Tybrisa Dining + Retail. Seller is an LLC with a member who is a licensed real estate agent in the State of Georgia.",
500 Altamaha Street,Savannah,GA,31401,442649516,Townhouse,2023,Chatham,2123,,250,1225000,/homedetails/500-Altamaha-St-Savannah-GA-31401/442649516_zpid/,2/13/2026,68,,https://photos.zillowstatic.com/fp/2267ce84712eb5365cbac0d0916882ec-p_d.jpg,3,4,-81.075195,32.07646,"Welcome to refined Lowcountry living in Upper East River, one of Savannah’s most exciting waterfront communities.

This beautifully appointed end-unit townhome offers extra windows and abundant natural light, just a 5–10 minute walk to River Street and tucked along the scenic Savannah River. Enjoy walkable access to dining, entertainment, and shopping, while coming home to a peaceful riverfront setting.

Featuring 3 bedrooms and 3.5 bathrooms, the home blends modern design with timeless Southern appeal. The open-concept main living area showcases soaring ceilings, a gas fireplace with elegant mantel, and seamless flow into a designer kitchen with quartz countertops, custom cabinetry, and stainless steel appliances.

Step onto your semi-private, river-facing deck, perfect for morning coffee or evening entertaining, complete with two natural gas hookups for a grill, fire table, or pizza oven. Surround-sound speakers are installed throughout the first-floor bedroom, living room, primary suite, garage, and deck.

Upstairs, the spacious primary suite offers a relaxing retreat with a generous en-suite bath and walk-in closet. Energy-efficient construction and high-end finishes provide comfort and peace of mind.

Additional highlights include an attached garage with extra storage, riverfront walking paths, and green spaces. Just steps from Eastern Wharf—home to local shops, eateries, a spa, and a waterfront park with concerts, festivals, and year-round events. The neighborhood is STVR-approved, offering excellent flexibility and income potential.

Schedule your private showing today!",2600
3 Lullwater Road #A,Tybee Island,GA,31328,459387159,Townhouse,1999,Chatham,1423,2924,,599900,/homedetails/3-Lullwater-Rd-A-Tybee-Island-GA-31328/459387159_zpid/,12/28/2025,115,,https://photos.zillowstatic.com/fp/2b2430b6fc65995ef595f10a3054c068-p_d.jpg,3,3,-80.849495,32.017624,"Rare Tybee Island opportunity — RT zoning [STVR]+ X Flood Zone + NO HOA! Located on the peaceful North Beach / Fort Screven side of Tybee Island, this turnkey luxury townhome offers exceptional flexibility for investors and second-home buyers alike. Situated in the Residential Tourist (RT) zoning district, the property is eligible for short-term vacation rental use, making it an attractive opportunity for those seeking income potential on the island. Being in an X Flood Zone helps reduce insurance costs, while no HOA provides greater flexibility and fewer restrictions compared to many island properties.

Discover the ultimate blend of coastal luxury and financial security at 3A Lullwater Road. 

Step inside to a turnkey sanctuary designed for modern coastal living. The first floor offers an open-concept layout anchored by premium LVP flooring and fresh designer paint. The gourmet kitchen features quartz countertops, soft-close cabinetry, and a farmhouse sink, flowing effortlessly into the living and dining areas. Uniquely, the first floor also hosts the luxurious primary suite, offering essential single-level living convenience. A chic powder room and dedicated laundry center add functional ease.

Upstairs, two generous guest bedrooms share a Jack-and-Jill bathroom, creating a private wing for family or executive guests. A massive walk-in attic provides rare, climate-secure storage for beach gear and holiday treasures. Outside, your private, fenced backyard is a secluded oasis with a custom firepit, while the attached garage protects your golf cart and kayaks.  

Escape the noise of the south end and embrace the lucrative side of Tybee. Don’t just buy a beach house; buy a smarter asset.",
311A Columbus Drive,Savannah,GA,31405,2075796333,Single Family,2016,Chatham,1968,2501,,675000,/homedetails/311-311A-Columbus-Dr-Savannah-GA-31405/2075796333_zpid/,2/10/2026,71,,https://photos.zillowstatic.com/fp/04e3a89aea057e7ea7e3102354b8fc36-p_d.jpg,3,3,-81.099365,32.037777,"Custom built in 2016, this turnkey, move-in-ready 3 BR/2.5 BA Ardsley Park Area jewel offers the best of both worlds: contemporary amenities (including large closets, energy-efficient systems & an open floor plan) plus the historic charm of one of Savannah’s most desirable neighborhoods. This inviting, low-maintenance home has great curb appeal & is nestled in a quiet area within walking distance of Habersham Village & Savannah Arts Academy. Highlights include a spacious living room with gas fireplace, serene primary suite with walk-in closet that’s separated from the other two bedrooms & beautiful kitchen with granite countertops & island. Thoughtful updates made by current owner plus Lowcountry-style shutters, inspiring living spaces with soaring ceilings, designer lighting, exquisite millwork, wood floors & elegant details. Private fenced backyard has lush landscaping & is ideal for entertaining & outdoor living. Ample off-street parking, impressive landscaping/hardscaping & more.",2300
19 Grand Lake Circle,Savannah,GA,31405,61763707,Single Family,2014,Chatham,4315,2091,46,975000,/homedetails/19-Grand-Lake-Cir-Savannah-GA-31405/61763707_zpid/,4/21/2026,1,,https://photos.zillowstatic.com/fp/da195ebbf840dd4e783bef120aaf5c6b-p_d.jpg,4,5,-81.24236,32.06482,"Your lakeside haven awaits at 19 Grand Lake Circle! This home was thoughtfully and tastefully planned and built in 2014 to capture the expansive views and stunning sunsets of the spacious 15-acre lake in Southbridge. Upon entering the home there is a large Dining Room with wood floors, wainscoting & columns with close access to the kitchen. Off of the kitchen is a cozy and inviting Family Room with brick walls and fireplace and is a perfect place to unwind. The kitchen also has a breakfast area which provides grand glimpses of the lake. The Living Room with fireplace and coffered ceiling is another wonderful gathering spot to catch the sunset and scenic view of the lake. The Primary Suite is on the main level and has a stunning and unique wood ceiling along with a window nook to relax and soak in the scene of the lake. The Primary Bathroom includes double vanities, beautiful soaking tub and separate spacious shower. There is a 2nd bedroom downstairs that is currently set up as an office, a full bathroom is down the hall from this bedroom. Roomy laundry room on the main level with another laundry closet upstairs! On the second level there are 2 en-suite bedrooms with walk-in closets. There is another large living area upstairs with a wet bar. Off of this living area is a covered porch with more panoramic perspective of the lake. The outdoor living space is a lakeside oasis including double covered porches, a fire pit area and a dining area. There is ample attic space for storage or expansion of more living space if necessary. The 2-car garage also has room for a golf cart. Live the grand life of living on the Grand Lake!",2950
102 Pearl Street,Savannah,GA,31405,459764635,Townhouse,2025,Chatham,2441,,,999900,/homedetails/102-Pearl-St-Savannah-GA-31405/459764635_zpid/,1/20/2026,92,,https://photos.zillowstatic.com/fp/509669b2c56027cc09b3ca41cebeeaef-p_d.jpg,3,4,-81.10445,32.050957,"Move in ready exquisite new construction at the precipice of Starland, Thomas Square, Ardsley Park & SCAD's Victory Village.  A stones throw to eateries & entertainment including downtown, Starland Yard, Ardsley Station, Victory North & Habersham Village. With crisp, modern design, it offers a ton of natural light & open floor plan. The kitchen boasts floor-to-ceiling, espresso, narrow shaker cabinets with quartz countertops & backsplash and flows seamlessly to dining, great room, study and powder room. Primary suite includes sitting area, ensuite bath w/ double floating vanities, shower, walk in closet & laundry.  Additional bedroom is private suite on main floor with bath, separate entrance & private washer & dryer.  3rd bedroom is on third floor & also includes ensuite bath.  Outdoor patio, private courtyard & balcony perfect for entertaining, eating, relaxing & pets.  One car garage & fiber optics to include security package ensure your car and precious valuables are secure & tucked away.",2300
9 Schroeder Court,Savannah,GA,31411,14134796,Single Family,2000,Chatham,2483,3516,216,689000,/homedetails/9-Schroeder-Ct-Savannah-GA-31411/14134796_zpid/,2/12/2026,69,,https://photos.zillowstatic.com/fp/ac0e2d024ef04a2d134cdeb46291a59a-p_d.jpg,3,3,-81.03745,31.941736,"Competitively priced, well maintained home in the Landings! A stunning crystal chandelier greets you in the foyer. Acacia Hardwood floors throughout create an upscale feel in every room.  A functioning, marble gas fireplace makes for a cozy living room. Large first floor master with vaulted ceiling and attached master bath with large walk in closet. Upstairs boasts remaining 2 large bedrooms and full bath. Rare fenced in oversized backyard with deck. Minutes to Marshwood Clubhouse, Landings Harbor Marina, and playground.",3200
509 E York Street,Savannah,GA,31401,14151121,Single Family,1900,Chatham,1640,,,995000,/homedetails/509-E-York-St-Savannah-GA-31401/14151121_zpid/,2/12/2026,69,,https://photos.zillowstatic.com/fp/13a6deef5116b2448a38ff5f28cb52ba-p_d.jpg,3,3,-81.086975,32.076103,"Welcome to 509 E York St. This 3 bedroom 2.5 bath standalone home, located in the Landmark Historic district, is the perfect second home or turnkey investment property. Originally built in 1839, the home has retained historic details such as original hardwood floors and has been tastefully updated with modern conveniences. A spacious living room and dining room greet you as you enter, with space to gather and entertain. The fully equipped kitchen leads out to your private courtyard, perfect for relaxation. The second floor features an oversized primary suite, a difficult find in historic properties! On the third floor you will find two additional spacious bedrooms and an additional full bath. Adjacent to Greene Square and just one block from the St Patrick’s Day Parade route, this short term vacation rental is being sold fully furnished with a non owner occupied STVR certificate in place. The property is professionally marketed and managed with plenty of 2026 reservations already on the books! Begin renting this one of a kind historic home the moment you close, or add your own personal design touches, building instant equity and increasing revenue potential. Call today for more info or to book your private showing.",2600
359 Chatooga Ln,Savannah,GA,31401,461663813,Townhouse,2026,Chatham,2118,,250,1283239,/homedetails/359-Chatooga-Ln-Savannah-GA-31401/461663813_zpid/,4/13/2026,9,Active,https://photos.zillowstatic.com/fp/f01ba62fb0adc67346e65cfd5baf7b53-p_d.jpg,3,4,-81.07682,32.07679,"Live, work, and play in Downtown Savannah's only riverfront residential community-Upper East River by award-winning Patrick Malloy Communities. Enjoy 1.6 miles of scenic riverwalk just outside your door, with premier destinations nearby including the Thompson Hotel, Eastern Wharf's shops, and some of the city's most popular restaurants.  Planned community amenities include a clubhouse with bar, resort-style pool, fitness center, and a rooftop deck with sweeping river views.  Thoughtfully designed for modern living, The Lee Plan offers a versatile three-level layout with stylish indoor and outdoor spaces. The terrace level features a private bedroom and full bath-ideal for guests, a home office, or flex space-with the option for a third bedroom in lieu of a covered porch. On the main level, enjoy an open-concept design with a spacious kitchen, oversized island, dining area, and light-filled living room that flows seamlessly to a rear deck-perfect for entertaining or relaxing. A convenient powder room completes this level. Upstairs, the owner's suite serves as a true retreat with a generous walk-in closet and private bath, with an optional luxury bath upgrade available. An additional bedroom with en-suite bath provides comfort and privacy for family or guests. Complete with a 2-car garage and inviting covered terrace, this home blends function, flexibility, and modern appeal.A rare opportunity to own in one of Savannah's most dynamic riverfront communities.  Home is under construction.  Images are of a similar home.  Actual finishes, features, and upgrades may vary in this specific home.",2600
215 E 45th Street,Savannah,GA,31405,14168257,Single Family,1912,Chatham,2624,3278,,825000,/homedetails/215-E-45th-St-Savannah-GA-31405/14168257_zpid/,4/17/2026,5,,https://photos.zillowstatic.com/fp/e618fa283d2c0bd0a0c175703e58656f-p_d.jpg,3,3,-81.09722,32.049397,"With its broad, deep wrap around porch, large walk-out balcony, screen porch, new porch with copper roof off the kitchen and fully fenced rear yard, this Craftsman home is built for enjoying our beautiful Savannah climate. Restoration work in 2024-2025 and a recent new rear porch and custom fenced rear yard, this home is a beauty. Just a block from Guckenheimer Park on tree-lined 45th St. this unique gem stands among some of the best Historic Ardsley Park homes. Electric has been updated, plaster has been repaired and original Heart Pine woodwork refinished and varnished throughout. Antique Arts & Crafts light fixtures grace the home with Quezal, Steuben & slag glass shades. A massive brick fireplace, ceiling beams & built-in bookshelves in the living room create a warm, inviting atmosphere. Two additional sitting rooms offer flexibility, & there is a new full bath with shower on the main. The kitchen has Maple cabinets and granite counters. The upstairs primary bedroom has a fireplace, an ensuite bath with a tub/shower combo, a dressing room & two closets. Two additional bedrooms feature large closets; one has a trunk room ideal for office use. The second bath is fully tiled with a tub & separate shower. The generous front porch & walk-out balcony features a new built-in copper gutter, historic railing & copper capped pergola. Add your own touches and enjoy this beautiful home!",2300
6 Oak Glade Court,Savannah,GA,31411,14135767,Single Family,1995,Chatham,3457,5289,216,999000,/homedetails/6-Oak-Glade-Ct-Savannah-GA-31411/14135767_zpid/,3/5/2026,48,,https://photos.zillowstatic.com/fp/de5a1574823cc1a9f3e4070472d1d233-p_d.jpg,3,4,-81.05003,31.957447,"Nestled in the desirable Deer Creek community, this beautifully designed one-level home offers the perfect blend of comfort, functionality, and privacy. Situated on a wooded lot backing to a serene nature preserve, you’ll enjoy peaceful views and relaxing evenings on the spacious back deck. The thoughtfully designed split floor plan features 3 bedrooms, 3.5 baths, and hardwood floors throughout the main living areas and primary suite. A private office provides the ideal work-from-home space, while the formal dining room and inviting living room with fireplace flow seamlessly into the kitchen and expansive great room—also featuring a cozy fireplace—creating the perfect setting for everyday living and entertaining. Two guest bedrooms share a convenient Jack and Jill bath, and a separate bonus room with a full bath offers flexible space for guests, hobbies, or a media room. A laundry room and 3-car garage complete this exceptional home. Enjoy easy living, beautiful natural surroundings, and versatile spaces designed to fit your lifestyle—all in sought-after Deer Creek.",3200
